"GLAUX_TEXT_ID"	"TLG"	"STARTDATE"	"ENDDATE"	"AUTHOR_STANDARD"	"TITLE_STANDARD"	"GENRE_STANDARD"	"DIALECT"	"SOURCE"	"SOURCE_LICENSE"	"SOURCE_FORMAT"	"TOKENS"	"TM_TEXT"
655	"0215-001"	-300	-201	"Antagoras"	"Epigrammata"	"Lyric poetry"	NA	"http://remacle.org"	NA	"TXT"	65	"6997"
656	"0215-002"	-300	-201	"Antagoras"	"Epigrammata"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	69	"6997"
657	"0568-001"	-300	-201	"Antigonus"	"Historiarum mirabilium collectio"	"Paradoxography"	NA	"https://theses.hal.science/tel-01835129"	NA	"TXT"	7428	"11264"
658	"0568-002"	-300	-201	"Antigonus"	"Epigramma"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	47	"12602"
659	"0044-001"	-300	-201	"Antiochi Regis Epistulae"	"Epistulae"	"Epistolography"	NA	"https://el.wikisource.org"	"CC-BY-SA 3.0"	"TXT"	508	"12769"
661	"0001-001"	-300	-201	"Apollonius Rhodius"	"Argonautica"	"Epic poetry"	"Ionic/Epic"	"Perseus"	"CC BY-SA 4.0"	"XML"	45941	"46"
662	"0570-002"	-300	-201	"Archelaus"	"Epigramma"	"Lyric poetry"	"Doric"	"Perseus"	"CC BY-SA 4.0"	"XML"	37	"11621"
663	"0552-001"	-300	-201	"Archimedes"	"De sphaera et cylindro"	"Mathematics"	"Koine"	"First1K"	"CC BY-SA 4.0"	"XML"	28728	"54"
664	"0552-002"	-300	-201	"Archimedes"	"Dimensio circuli"	"Mathematics"	"Koine"	"First1K"	"CC BY-SA 4.0"	"XML"	1218	"11543"
665	"0552-003"	-300	-201	"Archimedes"	"De conoidibus et sphaeroidibus"	"Mathematics"	"Doric"	"First1K"	"CC BY-SA 4.0"	"XML"	25189	"12639"
666	"0552-004"	-300	-201	"Archimedes"	"De lineis spiralibus"	"Mathematics"	"Doric"	"First1K"	"CC BY-SA 4.0"	"XML"	15871	"5366"
667	"0552-005"	-300	-201	"Archimedes"	"De planorum aequilibriis"	"Mathematics"	"Doric"	"First1K"	"CC BY-SA 4.0"	"XML"	10058	"12640"
668	"0552-006"	-300	-201	"Archimedes"	"Arenarius"	"Mathematics"	"Doric"	"First1K"	"CC BY-SA 4.0"	"XML"	5513	"12641"
669	"0552-007"	-300	-201	"Archimedes"	"Quadratura parabolae"	"Mathematics"	"Doric"	"First1K"	"CC BY-SA 4.0"	"XML"	6521	"12642"
671	"0552-009"	-300	-201	"Archimedes"	"Stomachion"	"Mathematics"	"Koine"	"First1K"	"CC BY-SA 4.0"	"XML"	502	"12644"
672	"0552-010"	-300	-201	"Archimedes"	"Ad Eratosthenem methodus"	"Mathematics"	"Koine"	"First1K"	"CC BY-SA 4.0"	"XML"	10942	"5367"
673	"0552-011"	-300	-201	"Archimedes"	"Liber assumptorum"	"Mathematics"	"Doric"	"First1K"	"CC BY-SA 4.0"	"XML"	4201	"12645"
674	"0552-012"	-300	-201	"Archimedes"	"Problema bovinum"	"Scientific Poetry"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	764	"12646"
675	"0552-013"	-300	-201	"Archimedes"	"Fragmenta"	"Mathematics"	"Koine"	"First1K"	"CC BY-SA 4.0"	"XML"	1336	"6571 / 19338 / 19339 / 19340"
676	"0131-001"	-300	-201	"Archimelus"	"Epigramma"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	48	"7074"
677	"1183-001"	-300	-201	"Aristeae Epistula"	"Aristeae epistula ad Philocratem"	"Epistolography"	NA	"https://el.wikisource.org"	"CC-BY-SA 3.0"	"TXT"	15131	"320"
680	"0137-001"	-300	-201	"Asclepiades"	"Epigrammata"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	1516	"11560"
681	"0174-001"	-300	-201	"Diotimus"	"Epigrammata"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	295	"10319"
682	"2622-001"	-300	-201	"Dorieus Poeta"	"Epigramma"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"TXT"	63	"16022"
683	"1799-001"	-300	-201	"Euclides"	"Elementa"	"Mathematics"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	176472	"477 / 15303"
685	"1799-008"	-300	-201	"Euclides"	"Data"	"Mathematics"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	4741	"15305 / 12665"
687	"1799-010"	-300	-201	"Euclides"	"Opticorum recensio Theonis"	"Mathematics"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	11629	"11737"
688	"1799-011"	-300	-201	"Euclides"	"Catoptrica"	"Mathematics"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	6122	"12666"
689	"1799-012"	-300	-201	"Euclides"	"Phaenomena"	"Astronomy/Astrology"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	9197	"12667 / 15306"
690	"1799-013"	-300	-201	"Euclides"	"Phaenomena"	"Astronomy/Astrology"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	761	"15307 / 12667"
691	"1799-014"	-300	-201	"Euclides"	"Phaenomena"	"Astronomy/Astrology"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	2730	"15308 / 12667"
692	"1799-015"	-300	-201	"Euclides"	"Sectio canonis"	"Music"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	2854	"12037"
693	"1799-017"	-300	-201	"Euclides"	"Epigramma"	"Lyric poetry"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	57	"12609"
694	"0221-004"	-300	-201	"Euphorion"	"Epigrammata"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	71	"12610"
695	"0198-001"	-300	-201	"Hedylus"	"Epigrammata"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	185	"10599"
696	"1391-001"	-300	-201	"Hegemon"	"Epigramma"	"Lyric poetry"	"Doric"	"Perseus"	"CC BY-SA 4.0"	"XML"	30	"10600"
697	"1405-001"	-300	-201	"Heraclides Criticus"	"Descriptio Graeciae"	"Geography"	NA	"First1K"	"CC BY-SA 4.0"	"XML"	3123	"7837"
707	"0051-001"	-300	-201	"Melissa"	"Fragmentum epistulae ad Clearetam"	"Philosophy"	"Doric"	"http://chaerephon.e-monsite.com"	NA	"TXT"	239	"12773"
708	"0218-002"	-300	-201	"Nicaenetus"	"Epigrammata"	"Lyric poetry"	NA	"Perseus"	"CC BY-SA 4.0"	"XML"	147	"10377"
