"section"	"form"	"postag"	"lemma"	"tlg"	"author"	"title"	"prob_active"	"prob_middle"	"prob_passive"	"predicted"
"1.18"	"συνελθεῖν"	"v--anD---"	"συνέρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.04	0.89	0.07	"middle"
"1.19"	"ἐβουλήθη"	"v3saiD---"	"βούλομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.02	0.01	0.97	"passive"
"1.2"	"ἐνθυμηθέντος"	"v-sapDmg-"	"ἐνθυμέομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.11	0.73	0.16	"middle"
"1.22"	"γέγονεν"	"v3sriD---"	"γίγνομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.08	0.81	0.11	"middle"
"2.1"	"παρεγένοντο"	"v3paiD---"	"παραγίγνομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.91	0.05	0.04	"active"
"2.2"	"ἤλθομεν"	"v1paiD---"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.64	0.08	0.28	"active"
"2.4"	"ἐπυνθάνετο"	"v3siiD---"	"πυνθάνομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.13	0.8	0.07	"middle"
"2.6"	"ἐξελεύσεται"	"v3sfiD---"	"ἐξέρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0	1	0	"middle"
"2.6"	"ἡγούμενος"	"v-sppDmn-"	"ἡγέομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0	1	0	"middle"
"2.8"	"ἐλθὼν"	"v-sapDmn-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.12	0.16	0.72	"passive"
"2.9"	"ἐλθὼν"	"v-sapDmn-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.13	0.18	0.7	"passive"
"2.11"	"ἐλθόντες"	"v-papDmn-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.53	0.07	0.41	"active"
"2.21"	"εἰσῆλθεν"	"v3saiD---"	"εἰσέρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.02	0.01	0.97	"passive"
"2.22"	"ἀπελθεῖν"	"v--anD---"	"ἀπέρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.04	0.86	0.09	"middle"
"2.23"	"ἐλθὼν"	"v-sapDmn-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.1	0.16	0.74	"passive"
"3.1"	"παραγίνεται"	"v3spiD---"	"παραγίγνομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.93	0.07	0	"active"
"3.7"	"ἐρχομένους"	"v-pppDma-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.86	0.13	0	"active"
"3.9"	"δύναται"	"v3spiD---"	"δύναμαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.92	0.07	0	"active"
"3.1"	"κεῖται"	"v3spiD---"	"κεῖμαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.94	0.06	0	"active"
"3.11"	"ἐρχόμενος"	"v-sppDmn-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0	1	0	"middle"
"3.13"	"παραγίνεται"	"v3spiD---"	"παραγίγνομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.93	0.07	0.01	"active"
"3.14"	"ἔρχῃ"	"v2spiD---"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.85	0.13	0.02	"active"
"3.16"	"ἐρχόμενον"	"v-sppDna-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.03	0.85	0.12	"middle"
"4.3"	"προσελθὼν"	"v-sapDmn-"	"προσέρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.1	0.17	0.73	"passive"
"4.3"	"γένωνται"	"v3pasD---"	"γίγνομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.36	0.23	0.41	"passive"
"4.11"	"προσῆλθον"	"v3paiD---"	"προσέρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.93	0.04	0.03	"active"
"4.13"	"ἐλθὼν"	"v-sapDmn-"	"ἔρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.16	0.24	0.6	"passive"
"4.16"	"καθήμενος"	"v-sppDmn-"	"κάθημαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0	0.99	0	"middle"
"4.16"	"καθημένοις"	"v-pppDmd-"	"κάθημαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.12	0.79	0.08	"middle"
"4.24"	"ἀπῆλθεν"	"v3saiD---"	"ἀπέρχομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.02	0.01	0.98	"passive"
"4.24"	"δαιμονιζομένους"	"v-pppDma-"	"δαιμονίζομαι"	"0031-001"	"Novum Testamentum"	"Evangelium secundum Matthaeum"	0.88	0.12	0	"active"
