"source"	"book"	"location"	"form"	"lemma"	"predicted"	"p(act)"	"p(mid)"	"p(pas)"	"n"
"Septuaginta"	"Job"	"41.21"	"ἐλογίσθησαν"	"λογίζομαι"	"active"	0.93	0.05	0.02	3022
"Septuaginta"	"Psalmi"	"43.25"	"ἐπιλανθάνῃ"	"ἐπιλανθάνομαι"	"active"	0.79	0.18	0.03	1742
"Septuaginta"	"Ecclesiastes"	"1.1"	"γέγονεν"	"γίγνομαι"	"middle"	0.07	0.79	0.14	349
"Septuaginta"	"Daniel"	"11.41"	"εἰσελεύσεται"	"εἰσέρχομαι"	"middle"	0	1	0	405
"Septuaginta"	"Bel et Draco"	"40"	"ἦλθε"	"ἔρχομαι"	"passive"	0.02	0.01	0.97	432
"Septuaginta"	"Ecclesiasticus sive Siracides"	"0.1"	"παραγενηθεὶς"	"παραγίγνομαι"	"passive"	0.12	0.2	0.68	1273
"Novum Testamentum"	"Evangelium secundum Matthaeum"	"22.1"	"ἐξελθόντες"	"ἐξέρχομαι"	"active"	0.61	0.08	0.31	494
"Novum Testamentum"	"Evangelium secundum Matthaeum"	"19.17"	"εἰσελθεῖν"	"εἰσέρχομαι"	"middle"	0.05	0.89	0.06	1491
"Novum Testamentum"	"Evangelium secundum Lucam"	"5.21"	"διαλογίζεσθαι"	"διαλογίζομαι"	"middle"	0.19	0.76	0.05	2049
"Novum Testamentum"	"Evangelium secundum Matthaeum"	"17.25"	"εἰσελθόντα"	"εἰσέρχομαι"	"middle"	0.38	0.57	0.05	910
"Novum Testamentum"	"Epistula Pauli ad Romanos"	"15.29"	"ἐλεύσομαι"	"ἔρχομαι"	"middle"	0.09	0.58	0.33	722
